Rowid,Kod,MenuEleman,Aciklama
nYCReTK4,RKE_Teknik,"Çok kirli, deforme olmuş, yırtık",
kjWKTJD2,RKE_Teknik,Dikiş yerlerinde hasar var,
w5jkKUjV,RKE_Teknik,Kullanım Ömrünü Doldurmuş,
ff5a4fb7,RKE_Teknik,Kullanım ve bakım koşullarına uyulmamış,
kWGbbGOU,RKE_Teknik,"Kurşun, etek kısımlarında (aşağıya) toplanmış",
0CelPNJV,RKE_Teknik,Sabitleyici bantlar ve/veya tokalar deforme,
2G2mZgjU,RKE_Teknik,Skopi altında kırık tespit edildi,
xl4Rjlck,RKE_Teknik,Tüm testler normal ekipman kullanıma uygun,
d909f8b9,Amac,Defibrilator,
e05d8a85,Amac,EKG Cihazı,
3iEIOC3E,Amac,Grafi,
vljhrOl5,Amac,Kaset Okuyucu,
DDLr2rLy,Amac,Manyetik Rezonans,
uOvRl97H,Amac,Skopi,
7d5plCOy,Amac,Skopi (Ercp),
YYxpABdP,Amac,Skopi (Eswl),
4d1flwN3,Amac,Ultrasonografi,
MKg3o46s,AnaBilimDali,Anesteziyoloji ve Reanimasyon ABD,ANZ
Ly4oyBaL,AnaBilimDali,Beyin ve Sinir Cerrahisi ABD,NRŞ
FC6cTMsN,AnaBilimDali,Cerrahi Tıp Bilimleri,CTB
lSWeEs1V,AnaBilimDali,Çocuk Sağlığı ve Hastalıkları ABD,CSH
2aGFIvCi,AnaBilimDali,Fiziksel Tıp ve Rehabilitasyon ABD,FTR
OBsI6ple,AnaBilimDali,Genel Cerrahi ABD,GCA
f8RZoK0K,AnaBilimDali,Göğüs Hastalıkları ABD,GHA
I4y1sEF7,AnaBilimDali,İç Hastalıkları ABD,DHL
2uGREkde,AnaBilimDali,Kalp ve Damar Cerrahisi ABD,KDC
jrwjugb4,AnaBilimDali,Kardiyoloji ABD,KRD
jOBJERDD,AnaBilimDali,"KBB, Göz ve Cerrahi Hastanesi",KBB
ftVB7P2M,AnaBilimDali,Mediko Sosyal Başhekimliği,MSB
l6HGZmyr,AnaBilimDali,Ortopedi ve Travmatoloji ABD,ORT
giIe3B9e,AnaBilimDali,Radyoloji ABD,RAD
w0Jrcj34,AnaBilimDali,Üroloji ABD,URO
87338a71,Bakim_Durum,Evet,
87338a72,Bakim_Durum,Hayır,
Rm5Erw9V,Bedeni,L,
jWVR5fuY,Bedeni,M,
oJpJlK1e,Bedeni,Pediatrik,
s1dmmZpO,Bedeni,S,
9tMi4ThT,Bedeni,STN,
JDmokrEO,Bedeni,XL,
sbdSluzn,Bedeni,XS,
dlWCRcbH,Bedeni,Yetişkin,
3U2Y0jct,Birim,Acil Endoskopi Ünitesi,AEU
D7Tn94Se,Birim,Acil Radyoloji,ARAD
ww9LZ34N,Birim,Algoloji Servis,ALG
KjC9Yj4T,Birim,Ameliyathane,AML
