Rowid;Kod;MenuEleman;Aciklama;sync_status;updated_at
nYCReTK4;RKE_Teknik;Çok kirli, deforme olmuş, yırtık;;clean;
kjWKTJD2;RKE_Teknik;Dikiş yerlerinde hasar var;;clean;
w5jkKUjV;RKE_Teknik;Kullanım Ömrünü Doldurmuş;;clean;
ff5a4fb7;RKE_Teknik;Kullanım ve bakım koşullarına uyulmamış;;clean;
kWGbbGOU;RKE_Teknik;Kurşun, etek kısımlarında (aşağıya) toplanmış;;clean;
0CelPNJV;RKE_Teknik;Sabitleyici bantlar ve/veya tokalar deforme;;clean;
2G2mZgjU;RKE_Teknik;Skopi altında kırık tespit edildi;;clean;
xl4Rjlck;RKE_Teknik;Tüm testler normal ekipman kullanıma uygun;;clean;
d909f8b9;Amac;Defibrilator;;clean;
e05d8a85;Amac;EKG Cihazı;;clean;
3iEIOC3E;Amac;Grafi;;clean;
vljhrOl5;Amac;Kaset Okuyucu;;clean;
DDLr2rLy;Amac;Manyetik Rezonans;;clean;
uOvRl97H;Amac;Skopi;;clean;
7d5plCOy;Amac;Skopi (Ercp);;clean;
YYxpABdP;Amac;Skopi (Eswl);;clean;
4d1flwN3;Amac;Ultrasonografi;;clean;
MKg3o46s;AnaBilimDali;Anesteziyoloji ve Reanimasyon ABD;ANZ;clean;
Ly4oyBaL;AnaBilimDali;Beyin ve Sinir Cerrahisi ABD;NRŞ;clean;
FC6cTMsN;AnaBilimDali;Cerrahi Tıp Bilimleri;CTB;clean;
lSWeEs1V;AnaBilimDali;Çocuk Sağlığı ve Hastalıkları ABD;CSH;clean;
2aGFIvCi;AnaBilimDali;Fiziksel Tıp ve Rehabilitasyon ABD;FTR;clean;
OBsI6ple;AnaBilimDali;Genel Cerrahi ABD;GCA;clean;
f8RZoK0K;AnaBilimDali;Göğüs Hastalıkları ABD;GHA;clean;
I4y1sEF7;AnaBilimDali;İç Hastalıkları ABD;DHL;clean;
2uGREkde;AnaBilimDali;Kalp ve Damar Cerrahisi ABD;KDC;clean;
jrwjugb4;AnaBilimDali;Kardiyoloji ABD;KRD;clean;
jOBJERDD;AnaBilimDali;KBB, Göz ve Cerrahi Hastanesi;KBB;clean;
ftVB7P2M;AnaBilimDali;Mediko Sosyal Başhekimliği;MSB;clean;
l6HGZmyr;AnaBilimDali;Ortopedi ve Travmatoloji ABD;ORT;clean;
giIe3B9e;AnaBilimDali;Radyoloji ABD;RAD;clean;
w0Jrcj34;AnaBilimDali;Üroloji ABD;URO;clean;
87338a71;Bakim_Durum;Evet;;clean;
87338a72;Bakim_Durum;Hayır;;clean;
Rm5Erw9V;Bedeni;L;;clean;
jWVR5fuY;Bedeni;M;;clean;
oJpJlK1e;Bedeni;Pediatrik;;clean;
s1dmmZpO;Bedeni;S;;clean;
9tMi4ThT;Bedeni;STN;;clean;
JDmokrEO;Bedeni;XL;;clean;
sbdSluzn;Bedeni;XS;;clean;
dlWCRcbH;Bedeni;Yetişkin;;clean;
3U2Y0jct;Birim;Acil Endoskopi Ünitesi;AEU;clean;
D7Tn94Se;Birim;Acil Radyoloji;ARAD;clean;
ww9LZ34N;Birim;Algoloji Servis;ALG;clean;
KjC9Yj4T;Birim;Ameliyathane;AML;clean;
RAFYe3UO;Birim;Anjiografi;ANJ;clean;
aHEB1WTd;Birim;Endoskopi Ünitesi;ENU;clean;
uRrZdR6k;Birim;Gamma Knife Ünitesi;GKU;clean;
rBVTS9RF;Birim;Girişimsel Radyoloji Anjiografi;RANJ;clean;
kCDnsiJV;Birim;Kemik Yoğunluğu Ölçümü;KYO;clean;
y7fRDkmk;Birim;Koroner Anjiografi;KANJ;clean;
WBhHP5zV;Birim;Mamografi;MAM;clean;
7McZijvH;Birim;Manyetik Rezonans Ünitesi;MRI;clean;
xEwJooBR;Birim;Nöroradyoloji Anjiografi;NANJ;clean;
94etaK5j;Birim;Pediatrik Radyoloji;PRAD;clean;
H8lBKpmb;Birim;Poliklinik;POL;clean;
fjKVBW5D;Birim;Radyoloji Depo;RDP;clean;
d898f196;Birim;Radyoloji USG;USG;clean;
mSo5ZsIg;Birim;Sevisler;SER;clean;
cBWHKxCA;Birim;Vatan Yerleşkesi;KBB;clean;
Ft3NHplP;Birim;Voiding;VOI;clean;
7WMExpo0;Birim;Yoğun Bakım Ünitesi;YBÜ;clean;
f6808863;Cihaz_Tipi;Görüntüleme (Diğer);GOR;clean;
f6808862;Cihaz_Tipi;Görüntüleme (Radyasyon Kaynaklı);XRY;clean;
f6808864;Cihaz_Tipi;Medikal Cihazlar;MED;clean;
900b2ae6;Çalışma Koşulu;Çalışma Koşulu A;;clean;
e3a71c58;Çalışma Koşulu;Çalışma Koşulu B;;clean;
64ab0b68;Garanti_Durum;Evet;;clean;
c165c961;Garanti_Durum;Hayır;;clean;
2mWSNHcA;Gorev_Yeri;Acil Radyoloji;Çalışma Koşulu A;clean;
wgAuSlfZ;Gorev_Yeri;AnaBilim Dalı Başkanı;Çalışma Koşulu B;clean;
c9IeANyt;Gorev_Yeri;AnaBilim Dalı Sekreteri;Çalışma Koşulu B;clean;
pSot4RUY;Gorev_Yeri;Anjiografi Kayıt;Çalışma Koşulu B;clean;
O5WZJI5z;Gorev_Yeri;Bakım Onarım;Çalışma Koşulu B;clean;
cWWGS0Lu;Gorev_Yeri;Başhemşire;Çalışma Koşulu B;clean;
WHdKw0tM;Gorev_Yeri;Bilim Dalı Başkanı;Çalışma Koşulu B;clean;
jg1n6olr;Gorev_Yeri;Dahiliye;Çalışma Koşulu A;clean;
mVyhSEUJ;Gorev_Yeri;Danışma;Çalışma Koşulu B;clean;
KI0w9ZUc;Gorev_Yeri;Esnaf Has. Yerleşkesi;Çalışma Koşulu A;clean;
UV5tr7yj;Gorev_Yeri;Girişimsel Radyoloji;Çalışma Koşulu A;clean;
ZEFTaulE;Gorev_Yeri;Gögüs Hastalıkları;Çalışma Koşulu B;clean;
0Mb6Nj0I;Gorev_Yeri;Mamografi;Çalışma Koşulu A;clean;
V5xTkyrw;Gorev_Yeri;Mamografi Kayıt;Çalışma Koşulu B;clean;
