EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-GK-1,,Radyoloji ABD,Radyoloji Depo,Gonad Koruyucu,,2024,,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GK-1; Koruyucu No: RAD-RDP-GK-5; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GK-2,,Radyoloji ABD,Radyoloji Depo,Gonad Koruyucu,,2024,Pediatrik,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GK-2; Koruyucu No: ; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GK-3,,Radyoloji ABD,Radyoloji Depo,Gonad Koruyucu,,2024,Pediatrik,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GK-3; Koruyucu No: ; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GK-4,RAD-ANJ-GON-001,Radyoloji ABD,Anjiografi,Gonad Koruyucu,,2024,,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GK-4; Koruyucu No: KRD-ANJ-GK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GK-5,KRD-ANJ-GK-2,Kardiyoloji ABD,Anjiografi,Gonad Koruyucu,,2024,Yetişkin,2026-02-13,Kullanıma Uygun Değil,,,,,clean,
RKE-GK-6,KRD-ANJ-GK-3,Kardiyoloji ABD,Anjiografi,Gonad Koruyucu,,2024,Yetişkin,2026-02-13,Kullanıma Uygun Değil,,,,,clean,
RKE-GK-7,,Radyoloji ABD,Radyoloji Depo,Gonad Koruyucu,,2024,Yetişkin,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GK-7; Koruyucu No: ; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GK-8,KRD-ANJ-GK-4,Kardiyoloji ABD,Anjiografi,Gonad Koruyucu,0.50 mmPb,2024,Yetişkin,2026-02-13,Kullanıma Uygun Değil,,,,,clean,
RKE-GZ-1,,Radyoloji ABD,Radyoloji Depo,Kurşun Gözlük,,2024,STN,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GZ-1; Koruyucu No: ; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-GZ-10,ORT-AML-KG-6,Ortopedi ve Travmatoloji ABD,Ameliyathane,Kurşun Gözlük,,2024,STN,2026-02-13,Kullanıma Uygun Değil,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-GZ-10; Koruyucu No: ORT-AML-KG-6; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
