Tarih,ResmiTatil,sync_status,updated_at,TatilTuru
2023-01-01,Yılbaşı,clean,,Resmi
2023-04-20,Ramazan Bayramı Arifesi,clean,,DiniBayram
2023-04-21,Ramazan Bayramı 1.gün,clean,,DiniBayram
2023-04-22,Ramazan Bayramı 2.gün,clean,,DiniBayram
2023-04-23,Ramazan Bayramı 3.gün,clean,,DiniBayram
2026-08-30,Ulusal Egemenlik ve Çocuk Bayramı,clean,,Resmi
2023-05-01,Emek ve Dayanışma Günü,clean,,Resmi
2023-05-19,Atatürk’ü Anma Gençlik ve Spor Bayramı,clean,,Resmi
2023-06-27,Kurban Bayramı Arifesi,clean,,DiniBayram
2023-06-28,Kurban Bayramı 1.gün,clean,,DiniBayram
2023-06-29,Kurban Bayramı 2.gün,clean,,DiniBayram
2023-06-30,Kurban Bayramı 3.gün,clean,,DiniBayram
2023-07-01,Kurban Bayramı 4.gün,clean,,DiniBayram
2023-07-15,Demokrasi ve Millî Birlik Günü,clean,,Resmi
2023-08-30,Zafer Bayramı,clean,,Resmi
2023-10-29,Cumhuriyet Bayramı,clean,,Resmi
2023-12-31,Yılbaşı gecesi,clean,,Resmi
2024-01-01,Yılbaşı,clean,,Resmi
2024-04-09,Ramazan Bayramı Arifesi,clean,,DiniBayram
2024-04-10,Ramazan Bayramı 1.gün,clean,,DiniBayram
2024-04-11,Ramazan Bayramı 2.gün,clean,,DiniBayram
2024-04-12,Ramazan Bayramı 3.gün,clean,,DiniBayram
2024-04-23,Ulusal Egemenlik ve Çocuk Bayramı,clean,,Resmi
2024-05-01,Emek ve Dayanışma Günü,clean,,Resmi
2024-05-19,Atatürk’ü Anma Gençlik ve Spor Bayramı,clean,,Resmi
2024-06-15,Kurban Bayramı Arifesi,clean,,DiniBayram
2024-06-16,Kurban Bayramı 1.gün,clean,,DiniBayram
2024-06-17,Kurban Bayramı 2.gün,clean,,DiniBayram
2024-06-18,Kurban Bayramı 3.gün,clean,,DiniBayram
2024-06-19,Kurban Bayramı 4.gün,clean,,DiniBayram
2024-07-15,Demokrasi ve Millî Birlik Günü,clean,,Resmi
2024-08-30,Zafer Bayramı,clean,,Resmi
2024-10-29,Cumhuriyet Bayramı,clean,,Resmi
2024-12-31,Yılbaşı gecesi,clean,,Resmi
2025-01-01,Yılbaşı,clean,,Resmi
2025-03-29,Ramazan Bayramı Arifesi,clean,,DiniBayram
2025-03-30,Ramazan Bayramı 1.gün,clean,,DiniBayram
2025-03-31,Ramazan Bayramı 2.gün,clean,,DiniBayram
2025-04-01,Ramazan Bayramı 3.gün,clean,,DiniBayram
2025-04-02,İdari İzin,clean,,Resmi
2025-04-03,İdari İzin,clean,,Resmi
