Rowid,Kod,MenuEleman,Aciklama,sync_status,updated_at
,Izin_Tipi,Aylıksız İzin - Askerlik Nedeniyle,,clean,
,Izin_Tipi,Aylıksız İzin - Doğum Nedeniyle,,clean,
,Izin_Tipi,Doğum İzni (Eşinin),10,clean,
,Izin_Tipi,Doğum Öncesi İzin,42,clean,
,Izin_Tipi,Doğum Sonrası İzin,42,clean,
,Izin_Tipi,Evlenme-Ölüm İzni,,clean,
,Izin_Tipi,Evlilik İzni,,clean,
,Izin_Tipi,Heyet Raporu,,clean,
,Izin_Tipi,İdari İzin,,clean,
,Izin_Tipi,Kongre izni: 3 aya kadar,,clean,
,Izin_Tipi,Mazeret,,clean,
,Izin_Tipi,Rapor İzni,,clean,
,Izin_Tipi,Refakatçı İzni,,clean,
,Izin_Tipi,Şua İzni,30,clean,
,Izin_Tipi,Tedavi İzni (Yatış Ve Ayaktan),,clean,
,Izin_Tipi,Yıllık İzin,30,clean,
,Amac,Defibrilator,,clean,
,Amac,EKG Cihazı,,clean,
,Amac,Grafi,,clean,
,Amac,Kaset Okuyucu,,clean,
,Amac,Manyetik Rezonans,,clean,
,Amac,Skopi,,clean,
,Amac,Skopi (Ercp),,clean,
,Amac,Skopi (Eswl),,clean,
,Amac,Ultrasonografi,,clean,
,AnaBilimDali,Beyin ve Sinir Cerrahisi ABD,NRS,clean,
,AnaBilimDali,Göğüs Hastalıkları ABD,GHA,clean,
,AnaBilimDali,İç Hastalıkları ABD,DHL,clean,
,AnaBilimDali,Kalp ve Damar Cerrahisi ABD,KDC,clean,
,AnaBilimDali,Kardiyoloji ABD,KRD,clean,
,AnaBilimDali,Ortopedi ve Travmatoloji ABD,ORT,clean,
,AnaBilimDali,Radyoloji ABD,RAD,clean,
,AnaBilimDali,Üroloji ABD,URO,clean,
,Ariza_Durum,İşlemde,,clean,
,Ariza_Durum,Parça Bekliyor,,clean,
,Ariza_Durum,Dış Serviste,,clean,
,Ariza_Durum,Kapalı (Çözüldü),,clean,
,Ariza_Durum,Kapalı (İptal),,clean,
,Ariza_Islem_Turu,Arıza Tespiti / İnceleme,,clean,
,Ariza_Islem_Turu,Onarım / Tamirat,,clean,
,Ariza_Islem_Turu,Parça Değişimi,,clean,
,Ariza_Islem_Turu,Yazılım Güncelleme,,clean,
,Ariza_Islem_Turu,Kalibrasyon,,clean,
,Ariza_Islem_Turu,Dış Servis Gönderimi,,clean,
,Ariza_Islem_Turu,Kapatma / Sonlandırma,,clean,
,Bedeni,L,,clean,
,Bedeni,M,,clean,
,Bedeni,Pediatrik,,clean,
,Bedeni,S,,clean,
,Bedeni,STN,,clean,
,Bedeni,XL,,clean,
,Bedeni,XS,,clean,
,Bedeni,Yetişkin,,clean,
,Birim,Acil Radyoloji,ARAD,clean,
,Birim,Ameliyathane,AML,clean,
,Birim,Anjiografi,ANJ,clean,
,Birim,Endoskopi Ünitesi,ENU,clean,
,Birim,Girişimsel Radyoloji Anjiografi,RANJ,clean,
,Birim,Koroner Anjiografi,KANJ,clean,
,Birim,Mamografi,MAM,clean,
,Birim,Manyetik Rezonans Ünitesi,MRI,clean,
,Birim,Nöroradyoloji Anjiografi,NANJ,clean,
,Birim,Poliklinik,POL,clean,
,Birim,Radyoloji USG,USG,clean,
,Birim,Yoğun Bakım Ünitesi,YBU,clean,
,Cihaz_Belge_Tur,NDK Lisansı,,clean,
,Cihaz_Belge_Tur,RKS Belgesi,,clean,
,Cihaz_Belge_Tur,Sorumlu Diploması,,clean,
,Cihaz_Belge_Tur,Kullanım Kılavuzu,,clean,
,Cihaz_Belge_Tur,Cihaz Sertifikası,,clean,
,Cihaz_Belge_Tur,Teknik Veri Sayfası,,clean,
,Cihaz_Belge_Tur,Garanti Belgesi,,clean,
,Cihaz_Belge_Tur,Diğer,,clean,
,Personel_Belge_Tur,Diploma,,clean,
,Personel_Belge_Tur,Sertifika,,clean,
,Personel_Belge_Tur,Periyodik Muayene Raporu,,clean,
,Personel_Belge_Tur,İşe Giriş Muayenesi,,clean,
,Personel_Belge_Tur,Hastalık Raporu,,clean,
,Personel_Belge_Tur,Dozimetre Sonuçları,,clean,
,Personel_Belge_Tur,Diğer,,clean,
,RKE_Belge_Tur,Muayene Raporu,,clean,
,RKE_Belge_Tur,Kalibrasyon Sertifikası,,clean,
,RKE_Belge_Tur,Teknik Doküman,,clean,
,RKE_Belge_Tur,Diğer,,clean,
,Satin_Alma_Belge_Tur,Teklif,,clean,
,Satin_Alma_Belge_Tur,Sözleşme,,clean,
,Satin_Alma_Belge_Tur,Fatura,,clean,
,Satin_Alma_Belge_Tur,İrsaliye,,clean,
,Satin_Alma_Belge_Tur,Şartname,,clean,
,Satin_Alma_Belge_Tur,Diğer,,clean,
,Kurumsal_Belge_Tur,Yönetmelik,,clean,
,Kurumsal_Belge_Tur,Prosedür,,clean,
,Kurumsal_Belge_Tur,Sözleşme,,clean,
,Kurumsal_Belge_Tur,Akreditasyon Belgesi,,clean,
,Kurumsal_Belge_Tur,Yazışma,,clean,
,Kurumsal_Belge_Tur,Diğer,,clean,
,Cihaz_Tipi,Görüntüleme (Diğer),GOR,clean,
,Cihaz_Tipi,Görüntüleme (Radyasyon Kaynaklı),XRY,clean,
,Cihaz_Tipi,Medikal Cihazlar,MED,clean,
,Gorev_Yeri,Acil Radyoloji,Çalışma Koşulu A,clean,
,Gorev_Yeri,Esnaf Has. Yerleşkesi,Çalışma Koşulu B,clean,
,Gorev_Yeri,Girişimsel Radyoloji,Çalışma Koşulu A,clean,
,Gorev_Yeri,Gögüs Hastalıkları,Çalışma Koşulu B,clean,
,Hizmet_Sinifi,Akademik Personel,,clean,
,Hizmet_Sinifi,Asistan Doktor,,clean,
,Hizmet_Sinifi,Hemşire,,clean,
,Hizmet_Sinifi,Radyasyon Görevlisi,,clean,
,Kadro_Unvani,Araştırma Görevlisi,,clean,
,Kadro_Unvani,Doçent Doktor,,clean,
,Kadro_Unvani,Doktor,,clean,
,Kadro_Unvani,Doktor Öğretim Üyesi,,clean,
,Kadro_Unvani,Ebe,,clean,
,Kadro_Unvani,Hasta Bakıcı,,clean,
,Kadro_Unvani,Hemşire,,clean,
,Kadro_Unvani,Profesör Doktor,,clean,
,Kadro_Unvani,Radyoloji Teknikeri,,clean,
,Kadro_Unvani,Radyoloji Teknisyeni,,clean,
,Kadro_Unvani,Sağlık Memuru,,clean,
,Kadro_Unvani,Sağlık Teknikeri,,clean,
,Kadro_Unvani,Sağlık Teknisyeni,,clean,
,Kadro_Unvani,Teknisyen,,clean,
,Kadro_Unvani,Uzman Doktor,,clean,
,Kaynak,Anjiyo,ANJ,clean,
,Kaynak,C-Kollu,CKL,clean,
,Kaynak,CR Cihazı,CRC,clean,
,Kaynak,Mamografi,MAM,clean,
,Kaynak,Manyetik Rezonans,MRI,clean,
,Kaynak,Medikal Cihaz,MED,clean,
,Kaynak,Mobil Bilgisayarlı Tomografi,MCT,clean,
,Kaynak,Mobil Tek Tüplü Röntgen,MTTR,clean,
,Kaynak,Tek Tüplü Röntgen,TTR,clean,
,Kaynak,Tomografi,CT,clean,
,Kaynak,Ultrasonografi,USG,clean,
,Koruyucu_Cinsi,Gonad Koruyucu,GK,clean,
,Koruyucu_Cinsi,Kurşun Başlık,KB,clean,
,Koruyucu_Cinsi,Kurşun Eldiven,KE,clean,
,Koruyucu_Cinsi,Kurşun Gözlük,KG,clean,
,Koruyucu_Cinsi,Kurşun Paravan,KP,clean,
,Koruyucu_Cinsi,Palto (Önlük),O,clean,
